,mrp,ram_space,storage_space,os,storage_type,ram_type,cpu,display_size,touch_screen,warranty
164,89990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
165,85990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,17.3,NO,1 Y
166,194990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
167,44990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,2 Y
168,222990.0,16 GB,1 TB,MAC OS,SSD,UNIFIED,APPLE M1 PRO,14.2,NO,1 Y
169,15990.0,4 GB,128 GB,DOS,SSD,DDR4,INTEL CELERON DUAL CORE,14.1,NO,1 Y
170,36990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,2 Y
171,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,2 Y
172,45900.0,8 GB,1 TB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
173,79990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I7,13.3,NO,1 Y
174,56990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,14.0,NO,1 Y
175,34990.0,8 GB,256 GB,WIN,SSD,DDR4,RYZEN 3 DUAL CORE,15.6,NO,1 Y
176,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
177,196990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
178,43580.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
179,74990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,13.3,YES,1 Y
180,38705.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,15.6,NO,2 Y
181,85990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
182,37490.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,2 Y
183,20990.0,4 GB,128 GB,WIN,SSD,DDR4,INTEL CELERON QUAD CORE,14.0,NO,1 Y
184,109990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I7,15.6,NO,2 Y
185,71990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,13.3,NO,1 Y
186,35590.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 3 DUAL CORE,15.6,NO,2 Y
187,150990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 9 OCTA CORE,15.6,NO,1 Y
188,32990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,1 Y
189,43990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,14.0,NO,1 Y
190,73490.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
191,194990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
192,25990.0,8 GB,256 GB,WIN,SSD,DDR4,RYZEN 3 DUAL CORE,14.0,NO,1 Y
193,122990.0,16 GB,1 TB,WIN,SSD,DDR4,INTEL CORE I9,15.6,NO,1 Y
194,68990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
195,59990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
196,36990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,2 Y
197,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,2 Y
198,39990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,15.6,NO,1 Y
199,37990.0,8 GB,1 TB,WIN,HDD,DDR4,INTEL CORE I3,15.6,NO,1 Y
200,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
201,196990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
202,25950.0,4 GB,256 GB,WIN,SSD,DDR4,INTEL CELERON DUAL CORE,14.0,NO,1 Y
203,64999.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,14.0,NO,1 Y
204,60990.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 HEXA CORE,15.6,NO,1 Y
205,36990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
206,38705.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,15.6,NO,2 Y
207,85990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
208,59990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
209,222990.0,16 GB,512 GB,MAC OS,SSD,UNIFIED,APPLE M1 PRO,16.2,NO,1 Y
210,35590.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 3 DUAL CORE,15.6,NO,2 Y
211,150990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 9 OCTA CORE,15.6,NO,1 Y
212,235283.0,16 GB,1 TB,WIN,SSD,DDR5,INTEL CORE I9,15.6,NO,1 Y
213,38990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I3,15.6,NO,1 Y
214,67990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
215,79990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,2 Y
216,36990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,2 Y
217,39990.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,1 Y
218,67990.0,16 GB,512 GB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
219,79990.0,16 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,15.6,NO,2 Y
220,196990.0,16 GB,1 TB,WIN,SSD,DDR5,RYZEN 9 OCTA CORE,15.6,NO,1 Y
221,38705.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 5 QUAD CORE,15.6,NO,2 Y
222,89990.0,16 GB,512 GB,WIN,SSD,DDR5,INTEL CORE I5,15.6,NO,1 Y
223,241990.0,32 GB,1 TB,WIN,SSD,DDR5,INTEL CORE I9,16.0,NO,1 Y
224,43490.0,8 GB,512 GB,WIN,SSD,DDR4,INTEL CORE I5,14.0,NO,1 Y
225,46990.0,8 GB,256 GB,WIN,SSD,DDR4,INTEL CORE I3,14.0,NO,1 Y
226,85990.0,16 GB,1 TB,WIN,SSD,DDR4,RYZEN 7 OCTA CORE,15.6,NO,1 Y
227,35590.0,8 GB,512 GB,WIN,SSD,DDR4,RYZEN 3 DUAL CORE,15.6,NO,2 Y
